titulo,descripcion,categoria,latitud,longitud,fechaSuceso,horaSuceso,contribuyente,etiquetas
"Robo a peatón en avenida céntrica,Un individuo sustrajo pertenencias tras intimidar a la víctima,Robo,-31.4201,-64.1888,14-06-25,21:30,Juan Rodríguez,robo;calle;noche"
"Accidente entre auto y bicicleta,Colisión leve en cruce semaforizado,Accidente,-32.9442,-60.6505,22-05-25,08:10,Carlos Medina,transito;bicicleta;mañana"
" Pelea entre vecinos por ruidos molestos,Discusión nocturna que derivó en agresiones verbales,Violencia,-34.9214,-57.9544,03-07-25,23:15,María López,vecinos;noche;violencia"
"Estafa por venta falsa online,El comprador transfirió dinero y no recibió el producto,Estafa,-34.6145,-68.3301,18-09-25,19:40,Luciana Fernández,online;fraude;venta"
"Robo de moto estacionada,Motocicleta sustraída de la vía pública sin testigos,Robo,-38.9516,-68.0591,01-06-25,02:20,Daniel Pérez,moto;robo;madrugada"
" Accidente por calzada mojada,Un vehículo despistó debido a lluvias intensas,Accidente,-27.3621,-55.9006,19-04-25,06:50,Roberto Sosa,lluvia;transito;mañana"
"Pelea en bar durante la madrugada,Clientes protagonizaron una pelea tras una discusión,Violencia,-38.7167,-62.2651,09-08-25,03:05,Juan Rodríguez,bar;noche;violencia"
"Robo de bolso en transporte público,La víctima sufrió el robo al descender del colectivo,Robo,-26.8241,-65.2226,27-07-25,18:45,María López,colectivo;robo;tarde"
"Amenazas entre comerciantes,Conflicto verbal con amenazas en zona comercial,Violencia,-31.5375,-68.5364,21-08-25,17:10,Carlos Medina,comercio;amenazas;violencia"
"Estafa por falso soporte técnico,La víctima entregó datos personales tras una llamada,Estafa,-24.1858,-65.2995,02-10-25,16:35,Luciana Fernández,telefono;engaño;fraude"
"Accidente múltiple en ruta,Dos autos y una camioneta involucrados en choque en cadena,Accidente,-40.8135,-62.9967,30-05-25,07:40,Roberto Sosa,ruta;transito;mañana"
"Robo de bicicleta en plaza,La bicicleta fue sustraída mientras el dueño conversaba,Robo,-34.1708,-58.959,11-06-25,19:05,Juan Rodríguez,plaza;bicicleta;robo"
"Discusión violenta en vía pública,Pelea entre dos personas por un conflicto previo,Violencia,-32.4075,-63.2436,14-08-25,20:55,María López,calle;violencia;noche"
"Estafa por alquiler inexistente,Seña abonada por una vivienda que no existía,Estafa,-45.8641,-67.4966,29-09-25,11:20,Daniel Pérez,alquiler;fraude;online"
"Accidente de moto en esquina barrial,El conductor perdió el control al doblar,Accidente,-51.623,-69.2168,07-04-25,09:00,Roberto Sosa,moto;transito;mañana"
